Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
527240.0,178090.0,-0.168767,51.487399,1,2,2,1,2005-12-23,6,05:50:00,12,E09000020,3,3217,6,30,3,2,4,304,0,0,1,1,1,1,0,1,1,E01002914
524290.0,181340.0,-0.210089,51.517263,1,2,1,1,2005-12-12,2,08:30:00,12,E09000020,4,450,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002831
527010.0,179010.0,-0.171747,51.495719,1,2,2,1,2005-12-06,3,19:23:00,12,E09000020,3,3218,3,30,3,4,3,4,0,0,4,1,1,0,0,1,1,E01002821
531390.0,181570.0,-0.107733,51.517725,48,2,2,1,2005-01-07,6,18:05:00,570,E09000001,3,40,1,30,1,2,4,521,0,5,4,1,1,0,0,1,1,E01000004
531830.0,181810.0,-0.101306,51.519779,48,2,2,1,2005-01-10,2,10:00:00,570,E09000001,5,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01002705
532140.0,181430.0,-0.096983,51.516292,48,2,2,1,2005-01-10,2,15:00:00,570,E09000001,3,1,2,30,3,4,6,0,0,4,1,2,2,0,0,1,1,E01000001
532830.0,181520.0,-0.08701,51.516939,48,2,1,1,2005-01-11,3,11:59:00,570,E09000001,3,1211,6,30,3,2,6,0,0,5,1,2,2,0,0,1,1,E01000004
533060.0,180930.0,-0.08392,51.511583,48,2,1,1,2005-01-28,6,17:45:00,570,E09000001,6,0,6,30,6,4,6,0,0,4,4,2,2,0,0,1,1,E01000004
531390.0,180820.0,-0.108013,51.510984,48,2,1,1,2005-02-01,3,22:30:00,570,E09000001,3,3211,3,30,3,2,5,0,0,5,4,1,1,0,0,1,1,E01000004
531280.0,181360.0,-0.109396,51.515863,48,2,1,1,2005-02-28,2,07:25:00,570,E09000001,5,0,2,30,3,4,5,0,0,0,1,1,1,0,0,1,1,E01000004
532120.0,181330.0,-0.097308,51.515398,48,2,2,1,2005-03-03,5,13:31:00,570,E09000001,3,40,2,30,0,-1,-1,0,0,4,1,1,2,0,0,1,1,E01000001
531390.0,181560.0,-0.107737,51.517635,48,2,2,4,2005-03-07,2,22:26:00,570,E09000001,3,40,1,30,1,2,3,4,0,5,4,2,2,0,0,1,1,E01000004
532580.0,180930.0,-0.090833,51.511695,48,2,2,1,2005-03-15,3,15:15:00,570,E09000001,5,0,6,30,6,4,5,0,0,0,1,1,1,0,0,1,2,E01000004
532090.0,182010.0,-0.097486,51.521516,48,2,2,1,2005-04-01,6,20:50:00,570,E09000001,3,1,3,30,3,4,5,0,0,0,4,1,1,0,0,1,1,E01002705
532110.0,181290.0,-0.097467,51.51504,48,2,1,1,2005-04-25,2,13:30:00,570,E09000001,3,40,2,30,3,2,3,40,0,5,1,1,2,0,0,1,1,E01000004
532120.0,181370.0,-0.097293,51.515757,48,1,2,2,2005-05-18,4,18:30:00,570,E09000001,3,1,2,30,3,4,5,0,0,0,1,1,1,0,0,1,1,E01000001
532170.0,181220.0,-0.096629,51.514397,48,2,1,1,2005-05-25,4,14:00:00,570,E09000001,5,0,2,30,3,2,5,0,0,5,1,1,1,0,0,1,1,E01000004
532190.0,181110.0,-0.096383,51.513404,48,2,1,1,2005-06-01,4,18:10:00,570,E09000001,5,0,6,30,3,2,6,0,0,5,1,2,2,0,0,1,1,E01000004
532400.0,180980.0,-0.093407,51.512187,48,2,1,2,2005-06-09,5,15:00:00,570,E09000001,5,0,6,30,6,2,5,0,0,5,1,1,1,0,0,1,1,E01000004
531630.0,181170.0,-0.104426,51.514074,48,2,2,2,2005-06-18,7,08:00:00,570,E09000001,3,201,6,30,6,2,5,0,0,5,1,1,1,0,0,1,1,E01000004
533230.0,181510.0,-0.081253,51.516755,48,2,1,1,2005-06-24,6,16:29:00,570,E09000001,3,10,6,30,3,2,3,1211,0,5,1,1,1,0,0,1,1,E01000004
533260.0,181550.0,-0.080805,51.517107,48,2,1,1,2005-06-24,6,23:00:00,570,E09000001,3,10,6,30,0,-1,-1,0,0,4,4,9,1,0,0,1,2,E01000004
532740.0,181130.0,-0.088454,51.513455,48,2,1,1,2005-07-11,2,08:30:00,570,E09000001,5,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000004
